compensation,date,early_access,found_funny,found_helpful,found_unhelpful,hours,page,page_order,product_id,products,recommended,text,user_id,username,,,
,2020-03-18,FALSE,,,,116.2,5,6,292030,118,TRUE,"I wrote a review that was better than most of the essays that I've written, but I accidentally deleted it so I'll just summarize the spark notes.
I bought it on GOG when it came out, played through most of the story got busy. Got busy and then a couple years later got the itch to play again and couldn't figure out my GOG account so I bought it here with all the DLC
Weapon Combat-not as deep as some other games but enough to keep you grinding as you progress the story, this is how I played the game
Spell Combat-has different uses depending on the situation and can sometimes be extremely useful, also pretty deep especially after the Mutagen update/DLC quest line
Story-immersive, choices matter and will have an impact on a large amount of things, which characters do you like, romance etc.
Enemies-Get somewhat repetitive until you get to the DLC which brings a lot of new stuff
DLC-AMAZING some of the best dlc put into a game, Hearts of Stone adds a new questline which is great Wine and Blood adds a whole new area that could've been its own game in its entirety
In conclusion, should you buy this game? YES! It goes on sale pretty often and you can get the game and its DLC for a fraction of its original price, its no wonder that this game still has people buying it 5 years later. One of my favorite games.",,*The_Lawnmowing_Doge_V5*,,,
,2020-03-18,FALSE,,,,13.9,5,7,292030,4,TRUE,It's addicted,7.65612E+16,g_andr_ik,,,
,2020-03-18,FALSE,,,,37,5,8,292030,13,TRUE,Great game one of the greatest I've ever play!,7.65612E+16,SleetXGod,,,
,2020-03-18,FALSE,,,,63.9,5,9,292030,4,TRUE,62 Hrs played as of writing this and haven't even reached skellige yet,7.65612E+16,suneelkhullar,,,
,2020-03-18,FALSE,,,,32.1,6,0,292030,63,TRUE,Its good,,Ferrock,,,
,2020-03-18,FALSE,,,,181.5,6,1,292030,56,TRUE,"What can be said about this game that hasn't already been said? It's the greatest of all time. After I finished it the first time, I dove into the book series, then went for a play through of all three games. It's quite the ride which I highly recommend.
There's just two things I want to note: first, if you're on your first play through, enjoy it and take your time. Nothing will ever compare. I wish I could forget I ever played it just to experience it again. Second, pay attention to the characters faces. There's so many subtle animations that are blink-and-you'll-miss-them, and I've yet to play any game that can convey real emotional through character models like this game does.
Witcher 3 is my heart, my soul and it means so damn much to me.",,neuralclone,,,
,2020-03-18,FALSE,,,,48.4,6,2,292030,31,TRUE,if u get bad ending you will live forever in agony,7.65612E+16,Beaver Brother,,,
,2020-03-18,FALSE,,,,85.3,6,3,292030,20,TRUE,excellent,7.65612E+16,Boomshack101,,,
,2020-03-18,FALSE,,,,33.7,6,4,292030,24,TRUE,10��10��,,gunnr16,,,
,2020-03-18,FALSE,,,,36,6,5,292030,28,TRUE,Took me a minute to get into it. I think I got totally hooked around the time of the spikey blob monster in the tree,7.65612E+16,,,,
,2020-03-18,FALSE,,,,20.8,6,6,292030,6,TRUE,Pretty bloody good aye,7.65612E+16,Discho,,,
,2020-03-18,FALSE,,,,158.8,6,7,292030,436,TRUE,"If you are somehow reading this review, you should be installing it already.",7.65612E+16,threepwood007,,,
,2020-03-18,FALSE,,,,21.6,6,8,292030,10,TRUE,"Amazing characters, story and game!!! I am addicted! I recently played on the PS4 but I am now replaying it on the PC. Definitely looks amazing on the PC!",,punxxmonkey,,,
,2020-03-18,FALSE,,,,325.6,6,9,292030,1,TRUE,fantastic game but maybe include the exchanging of items within an animation? 9/10,7.65612E+16,marcusaguinaga,,,
,2020-03-18,FALSE,,,,63.6,7,0,292030,129,TRUE,Be a Witcher they said...... it will be fun they said......,7.65612E+16,dragonslayer777,,,
,2020-03-18,FALSE,,,,175.6,7,1,292030,12,TRUE,"All in all, one of the greatest games I have ever played. The characters in the game have actual life. And the moral dilemmas of the decisions are very real. Wrong choices can lead to mass destruction. Should be played at least once in a lifetime by gamers.",,aditya.lahiri2009,,,
,2020-03-18,FALSE,,,,87.1,7,2,292030,30,TRUE,its ight yo,7.65612E+16,Ras,,,
,2020-03-18,FALSE,,,,80,7,3,292030,53,TRUE,One of the best RPG,7.65612E+16,Astronauta,,,
,2020-03-18,FALSE,,,,32.2,7,4,292030,15,TRUE,"With it starting kinda of slow in my opinion, the game instantly becomes amazing after the first tutorial area, opening up with amazing characters and places to explore, horrifying monsters, and beautiful adventures ahead. I would definitely recommend this game to anyone looking for a great story and gripping gameplay",,ThaiTheTarnished,,,
,2020-03-18,FALSE,,,,40.2,7,5,292030,7,TRUE,Greatest game I've ever played,7.65612E+16,Clanker.exe,,,
,2020-03-18,FALSE,,,,261.1,7,6,292030,58,TRUE,"The reviews could not be more accurate, simply amazing!",7.65612E+16,shitter,,,
,2020-03-18,FALSE,1,,,137.3,7,7,292030,280,TRUE,If your a big fan of Skyrim well this the game for you,7.65612E+16,Ledbzy,,,
,2020-03-18,FALSE,,,,25.4,7,8,292030,28,TRUE,Baller level satisfaction game,7.65612E+16,ItsFatTony26,,,
,2020-03-18,FALSE,,,,49.2,7,9,292030,84,TRUE,"Immersive and great as was TES V: Skyrim when I played it.
I modded it slightly to fix some bugs, fixed the only problem of the game (combat) and of course used graphics mods to improve what already is a beauty!
I RECOMMEND 10/10",7.65612E+16,xForcer,,,
,2020-03-18,FALSE,,,,13.9,8,0,292030,16,TRUE,Good Game,7.65612E+16,richfacer,,,
,2020-03-18,FALSE,,,,148.4,8,1,292030,14,TRUE,"A long adventurous game with an epic story. Whats not to like?
Except the skill tree. Lot's of levels to gain and nothing to do with all of the skill points.
Also some of the skills are ****.
Hey look Aard deals 200 damage and Yarden deals 50 damage per second!
This will help a lot against this 10 000+ vitality mob!",7.65612E+16,Sorza,,,
,2020-03-18,FALSE,,,,26,8,2,292030,102,FALSE,Rather get beat by chris brown then plays this ♥♥♥♥♥♥♥♥,,DisabledMcree.,,,
,2020-03-18,FALSE,,,,562.2,8,3,292030,88,TRUE,"Great game. A must play for fans of sword & sorcery RPGs. The character development is fun and progressive. Great story. Modern single-player RPGs struggle to find the right balance between story and combat, and this game does a great job. It still feels a tad linear; I didn't truly feel like Geralt's life was in my hands. But the story was good enough that I can forgive the lack of choices in dialogs and story direction.
For me, the worst part was the ""Gwent"" card game. I really wish game developers would quit with the obsession of putting card collecting into video games. I like card games. I own a bunch (in RL). But I don't play video games to collect virtual cards!!! It's frankly just silly.",7.65612E+16,Cmdr. Chucky,,,
,2020-03-18,FALSE,,,,191.7,8,4,292030,30,TRUE,One of the best games I've ever played,7.65612E+16,mickadoo,,,
Product received for free,2020-03-18,FALSE,,,,98.8,8,5,292030,19,TRUE,No comment,7.65612E+16,Selçuk,,,
,2020-03-18,FALSE,,,,4.3,8,6,292030,6,TRUE,is good,7.65612E+16,Grandtheft2019,,,
Product received for free,2020-03-18,FALSE,,,,70.8,8,7,292030,60,TRUE,"When I heard that this game was the best game of the decade and that no other could beat it, I found it hard to believe. Now here I am writing a steam review on my thoughts, and I have to say, wow. Just. Wow.
The amount of detail and thought that went into this game is astonishing. I am looking forward to the release of Cyberpunk 2077 because of CD projekt red",7.65612E+16,FineCastleIRE,,,
,2020-03-18,FALSE,,,,161,8,8,292030,12,TRUE,"The best video game I have ever played. The graphics is very beautiful, the stories are nicely written, the background music fit every story very well. I love this game so much that I feel lost when I played it through. Sometimes I go to the game again just want to meet Gerlad's friends.",,glamorbree,,,
,2020-03-18,FALSE,,,,7.3,8,9,292030,98,TRUE,Genuinely on of the greatest games of all time.,,�?Shin Malphur �?,,,
,2020-03-18,FALSE,,,,85.6,9,0,292030,244,TRUE,"This game is great. There is so much to do it is almost overwhelming. The story is rich and interesting. The characters all have their own personality. There are unique ways to attack unique situations. There is plenty of arcade-style action, board game playing and super nerdy RPG elements to satisfy most types of gamers. You can be as detailed and do as many missions as you want or you can just run in swords blazing.
If you like Game of Thrones. There is no reason you wouldn't love this. (Bewbs, gore and dragons(well not technically dragons but...shut up)) Its the same but different. The only thing I will say is I have played this for 83 hours now. I think there are at least 83 to go. So don't even think about having a life while playing this!",7.65612E+16,greefsnortch,,,
,2020-03-18,FALSE,,,,50,9,1,292030,61,TRUE,its alright,,QuinticFunc,,,
,2020-03-18,FALSE,,,,38.3,9,2,292030,689,TRUE,"not done, but good game. The Witcher 2 still better",,Space Ghost,,,
,2020-03-18,FALSE,,,,12.7,9,3,292030,15,TRUE,good,7.65612E+16,paigemarshallha,,,
,2020-03-18,FALSE,,,,132.5,9,4,292030,22,TRUE,"The Game is amazing,rich story,amazing action,tons of content,and a huge world to explore.
10/10",7.65612E+16,KackoOfThePack,,,
,2020-03-18,FALSE,,,,149.2,9,5,292030,22,TRUE,This game is the reason I built a new gaming PC a few years ago when it was released.  It has not disappointed.,7.65612E+16,froggy905,,,
,2020-03-18,FALSE,,,,122.9,9,6,292030,110,TRUE,A true classic in modern gaming.,7.65612E+16,ragewagon-,,,
,2020-03-18,FALSE,,,,230.5,9,7,292030,45,TRUE,"The best of the best...
La crème de la crème.",7.65612E+16,Delicious_Pork,,,
,2020-03-18,FALSE,,,,46.9,9,8,292030,16,TRUE,"thanks to this game i could go thru difficult decisions such as what girl will i have romance with
10/10 would hesitate to chose between triss and yen again
btw f*ck drowners and their 3 hit combo attack on death march difficulty",7.65612E+16,Major_Eyefish,,,
,2020-03-18,FALSE,,,,645,9,9,292030,69,TRUE,This has to be among the best games I've had the pleasure of playing. Not only is the initial run a blast but it also has a great deal of replay value.,7.65612E+16,darkridr25,,,
,2020-03-18,FALSE,,,,322.9,10,0,292030,88,TRUE,My favorite game of all time.,7.65612E+16,Squilla,,,
,2020-03-18,FALSE,,,,57,10,1,292030,108,TRUE,"The best RPG ever made, the end",,SonOfNumenor,,,
,2020-03-18,FALSE,,,,11.8,10,2,292030,11,TRUE,Pretty nice,7.65612E+16,Trekk,,,
,2020-03-18,FALSE,,,,197.7,10,3,292030,93,TRUE,"probably the best card game i've ever played
oh i guess the combat and storytelling is pretty okay too",7.65612E+16,Gillieon,,,
,2020-03-18,FALSE,,,,347.9,10,4,292030,19,TRUE,"After 346 hours of careful consideration, I hereby conclude, that this game is indeed worth my time.",7.65612E+16,unglaublich,,,
,2020-03-18,FALSE,,,,134.9,10,5,292030,26,TRUE,"The best RPG ever made in history.
Loved it.
10/10",,HangMan_Panda,,,
,2020-03-18,FALSE,,,,4,10,6,292030,3,TRUE,best game ever made,7.65612E+16,Sakata Gin,,,
,2020-03-18,FALSE,,,,58.3,10,7,292030,109,TRUE,TUB ♥♥�?,SHOOMOOKIE,,,,
,2020-03-18,FALSE,,,,15.1,10,8,292030,46,TRUE,"The best game ever made!
Somehow it's even better on my second playthrough.
""Should I play this game?""
""Is the Pope a pedo?""",,CVP,,,
,2020-03-18,FALSE,,,,120.8,10,9,292030,125,TRUE,"""omg Triss is kinda tan and that's why the show sucks"" The ugly dumb roommate man with ♥♥♥♥ ass",,Sanity,,,
,2020-03-18,FALSE,,,,59.6,11,0,292030,131,TRUE,"U play as Gerlt of Rivira . With swords u can kill monsters and bad guys, smetimes there are more gear u can use to get better attacks.",7.65612E+16,tђє ๔๏ﻮ�?ฬђเรקєгє�?,,,
,2020-03-18,FALSE,,,,14.2,11,1,292030,13,TRUE,"For me, this is the game that toppled Skyrim. Well worth getting and playing.",7.65612E+16,[TLR] RiffRaff,,,
,2020-03-18,FALSE,,,,139.7,11,2,292030,31,TRUE,it gud,,Soot,,,
,2020-03-18,FALSE,,,,31.7,11,3,292030,20,TRUE,Fantastic game! Now I have the time to play it! Neat!,7.65612E+16,AryeousEx,,,
,2020-03-18,FALSE,,,,43,11,4,292030,3,TRUE,"I have exactly 4 games on my steam account; catan universe (12 min played), civilization iii (0 minutes played), plants vs. zombies (190 hours played) and Witcher 3 (31 hours played).  Started playing after seeing the show, also reading the books now; I'm not obsessed at all!  Obviously I'm not a big gamer, and I'm a little worried it might be too advanced for me down the road but having a fun time so far.  Witcher is an amazing universe, enjoying the escape from reality, and the detail in this game is breathtaking!",7.65612E+16,StarbuckJedi,,,
,2020-03-18,FALSE,,,,23.7,11,5,292030,27,TRUE,who?,7.65612E+16,Guisseppi Melon,,,
,2020-03-18,FALSE,,,,270.6,11,6,292030,25,TRUE,Best RPG for me,7.65612E+16,opetlunizo,,,
,2020-03-18,FALSE,,,,326.6,11,7,292030,92,TRUE,Awesome game.,7.65612E+16,johnno1965,,,
,2020-03-18,FALSE,1,,,6.8,11,8,292030,39,TRUE,my fav so far xd,,Haložan (spritzar),,,
,2020-03-18,FALSE,,,,23.1,11,9,292030,200,TRUE,"Some crashing, but otherwise great",7.65612E+16,Winter Ghost,,,
,2020-03-18,FALSE,,,,9,12,0,292030,9,TRUE,yes,7.65612E+16,manofthe_world,,,
,2020-03-18,FALSE,,,,26,12,1,292030,241,TRUE,I wish I could get the coronavirus so I could finally get some time to myself to play this game #notsorry,,ThatManGomez!,,,
,2020-03-18,FALSE,,,,266.5,12,2,292030,157,TRUE,"one of the greatest ever made, a very exclusive club but it's near the top.",,mephistopheles,,,
,2020-03-18,FALSE,,,,124.8,12,3,292030,61,TRUE,Awesome game!,7.65612E+16,Mephisto,,,
,2020-03-18,FALSE,,,,95.9,12,4,292030,14,TRUE,Best RPG game ever.,7.65612E+16,Four,,,
,2020-03-18,FALSE,,,,81.1,12,5,292030,6,TRUE,"One of the best games I've played, even as good as Breath of the Wild.",,Pachyrhinocephalosaurodonychus,,,
,2020-03-18,FALSE,,,,428.2,12,6,292030,5,TRUE,+400h into the game,7.65612E+16,G0d vs D3vil,,,
,2020-03-18,FALSE,,,,32.5,12,7,292030,27,TRUE,its grrrrrrrrrate game' rate 10/out of tEN iGn rating...........................................................................................................................................................................................................................,7.65612E+16,swarm27,,,
,2020-03-18,FALSE,,,,7.8,12,8,292030,2,TRUE,Very Good Game,,Destiny,,,
,2020-03-18,FALSE,,,,42.1,12,9,292030,16,TRUE,"Damn... got the worst ending after my first playthrough so now I gotta replay it...
The only thing that bugged me is that I felt empty after finishing it. Hell, this might be a good thing.
But wow. Extraordinary game.",7.65612E+16,DR. CHPOUD,,,
,2020-03-18,FALSE,,,,7.4,13,0,292030,13,TRUE,Uncountable duties  Awesome story  Realistic gameplay . Nobody can say this game is bad .if say so he has no ability to play it,,mot-un,,,
,2020-03-18,FALSE,,,,35.6,13,1,292030,141,TRUE,"I know at first it seems overhyped, please keep playing and trust",,Danielisyourdad,,,
,2020-03-18,FALSE,,,,76.8,13,2,292030,45,TRUE,good,,PeegLy907,,,
,2020-03-18,FALSE,,,,60.7,13,3,292030,15,TRUE,veeery good,7.65612E+16,ScreaM - TURKEY,,,
,2020-03-18,FALSE,,,,137.2,13,4,292030,99,TRUE,"Decent combat, story is the real selling point. 10/10 must have.",,gerumpy,,,
,2020-03-18,FALSE,,,,44.7,13,5,292030,60,TRUE,The best game series ever finished by me!!!,,AR-4310,,,
,2020-03-18,FALSE,,,,53.9,13,6,292030,1,TRUE,I CAN PLAY THIS GAME OVER AND OVER AGAIN AND NOT BE BOURD,7.65612E+16,2389805505,,,
,2020-03-18,FALSE,,,,26.8,13,7,292030,33,TRUE,l,,JaydenSoFly,,,
,2020-03-18,FALSE,,,,165.2,13,8,292030,17,TRUE,"If  you haven't bought  this game yet then you  are missing  out the  real MVP of all the games out  there! This is  a masterpiece right here,though after ending  it  you dont have alot of things to do,but I like roam on my roach which has a different level  of feel :D .  Game is too big you will love it :D",7.65612E+16,FootFetish,,,
,2020-03-18,FALSE,,,,85.4,13,9,292030,10,TRUE,This is the best game i have ever played.,7.65612E+16,Sampo,,,
,2020-03-18,FALSE,,,,55.7,14,0,292030,286,TRUE,"Wow, how I love this game!",,Yogkurt,,,
,2020-03-18,FALSE,1,,,127.1,14,1,292030,19,TRUE,Beautifully rendered areolas.,,Ass,,,
,2020-03-18,FALSE,,,,201.8,14,2,292030,52,TRUE,"Sure there are a few parts of this game that don't work exactly right.  There are a couple of notoriously clunky mechanics.  But the story, the characters, the action, the fights.  It is such good value.  Get it.  Get the DLC.  Kick ♥♥�?  Play Gwent.  It's a lot of gameplay for the money.",7.65612E+16,willanth,,,
